Date,Close/Last,Open,High,Low
05/09/2025,17928.92,18022.55,18068.90,17853.84
05/08/2025,17928.14,17920.15,18096.00,17776.00
05/07/2025,17738.16,17706.83,17820.30,17503.01
05/06/2025,17689.66,17623.21,17830.35,17592.88
05/05/2025,17844.24,17817.01,17965.64,17792.08
05/02/2025,17977.73,17868.76,18048.83,17812.05
05/01/2025,17710.74,17793.14,17922.83,17688.10
04/30/2025,17446.34,17099.98,17483.82,16959.53
04/29/2025,17461.32,17270.76,17500.41,17256.20
04/28/2025,17366.13,17390.93,17467.35,17128.71
04/25/2025,17382.94,17182.11,17404.49,17110.72
04/24/2025,17166.04,16754.76,17174.35,16744.97
04/23/2025,16708.05,16880.29,17029.86,16642.66
04/22/2025,16300.42,16079.94,16410.56,16038.73
04/21/2025,15870.90,16052.76,16066.79,15685.33
04/17/2025,16286.45,16399.97,16408.51,16181.17
04/16/2025,16307.16,16499.69,16600.36,16066.46
04/15/2025,16823.17,16842.39,16979.96,16753.22
04/14/2025,16831.48,17120.44,17136.55,16661.26
04/11/2025,16724.46,16358.53,16753.41,16228.04
